country,country_code,indicator,year,value,long_name,income_group,region,lending_category,other_groups,currency_unit,latest_population_census,latest_household_survey,special_notes,national_accounts_base_year,national_accounts_reference_year,system_of_national_accounts,sna_price_valuation,ppp_survey_years,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data,2-alpha_code,wb-2_code,table_name,short_name
Comoros,COM       ,Average maturity on new external debt commitments (years),2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average maturity on new external debt commitments, official (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,Concessional debt (% of total external debt),2006,72.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Currency composition of PPG debt, all other currencies (%)",2006,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Currency composition of PPG debt, Euro (%)",2006,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,Average grace period on new external debt commitments (years),2006,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average grace period on new external debt commitments, official (years)",2006,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average grace period on new external debt commitments, private (years)",2006,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,Average grant element on new external debt commitments (%),2006,35.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average grant element on new external debt commitments, official (%)",2006,36.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average grant element on new external debt commitments, private (%)",2006,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,Average interest on new external debt commitments (%),2006,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average interest on new external debt commitments, official (%)",2006,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,Average maturity on new external debt commitments (years),2006,32.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average maturity on new external debt commitments, official (years)",2006,33.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Average maturity on new external debt commitments, private (years)",2006,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,Concessional debt (% of total external debt),2006,36.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Currency composition of PPG debt, all other currencies (%)",2006,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD       ,"Currency composition of PPG debt, Euro (%)",2006,31.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,Average grace period on new external debt commitments (years),2006,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average grace period on new external debt commitments, official (years)",2006,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,Average grant element on new external debt commitments (%),2006,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average grant element on new external debt commitments, official (%)",2006,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,Average interest on new external debt commitments (%),2006,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average interest on new external debt commitments, official (%)",2006,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,Average maturity on new external debt commitments (years),2006,19.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average maturity on new external debt commitments, official (years)",2006,19.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
